# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	COUNTERPART	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	SEGMENTS	COGID
1942	Yolmo	FAR	t̪ʰaɹiŋbu	Far:	t̪ʰ a ɹ i ŋ b u	1 7 5 7 4 1 7	AXBYMBZ	TARINPY	8	8.T.C 8.A.V 8.R.C 8.I.V 8.N.c 8.P.C 8.Y.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	0	t̪ʰ a ɹ i ŋ b u	165
#
94	Gyalsumdo	FAT (OF MEAT AND FOOD)	tsʰulu	Fat (of meat):High	t sʰ u l u	1 3 7 5 7	ACXBZ	TSYLY	1	1.T.C 1.S.C 1.Y.V 1.L.C 1.Y.V	2.0 1.5 1.5 1.75 0.8	0	t sʰ u l u	166
355	Jirel	FAT (OF MEAT AND FOOD)	tsʰiluk	Fat (of meat):High	t sʰ i l u k	1 3 7 5 7 1	ACXBYN	TSILYK	2	2.T.C 2.S.C 2.I.V 2.L.C 2.Y.V 2.K.c	2.0 1.5 1.5 1.75 1.3 0.8	0	t sʰ i l u k	166
614	Kagate	FAT (OF MEAT AND FOOD)	tsʰiluk	Fat (of meat):High	t sʰ i l u k	1 3 7 5 7 1	ACXBYN	TSILYK	3	3.T.C 3.S.C 3.I.V 3.L.C 3.Y.V 3.K.c	2.0 1.5 1.5 1.75 1.3 0.8	0	t sʰ i l u k	166
871	Lowa	FAT (OF MEAT AND FOOD)	tsʰiluk	Fat (of meat):High	t sʰ i l u k	1 3 7 5 7 1	ACXBYN	TSILYK	4	4.T.C 4.S.C 4.I.V 4.L.C 4.Y.V 4.K.c	2.0 1.5 1.5 1.75 1.3 0.8	0	t sʰ i l u k	166
1125	Nubri	FAT (OF MEAT AND FOOD)	tsʰulu	Fat (of meat):(Mid-)High	t sʰ u l u	1 3 7 5 7	ACXBZ	TSYLY	5	5.T.C 5.S.C 5.Y.V 5.L.C 5.Y.V	2.0 1.5 1.5 1.75 0.8	0	t sʰ u l u	166
1378	Sherpa	FAT (OF MEAT AND FOOD)	tsʰiluk	Fat (of meat):Mid-Low	t sʰ i l u k	1 3 7 5 7 1	ACXBYN	TSILYK	6	6.T.C 6.S.C 6.I.V 6.L.C 6.Y.V 6.K.c	2.0 1.5 1.5 1.75 1.3 0.8	0	t sʰ i l u k	166
1622	Tsum	FAT (OF MEAT AND FOOD)	tsʰilu	Fat (of meat):High	t sʰ i l u	1 3 7 5 7	ACXBZ	TSILY	7	7.T.C 7.S.C 7.I.V 7.L.C 7.Y.V	2.0 1.5 1.5 1.75 0.8	0	t sʰ i l u	166
1886	Yolmo	FAT (OF MEAT AND FOOD)	tsʰilu	Fat (of meat):High	t sʰ i l u	1 3 7 5 7	ACXBZ	TSILY	8	8.T.C 8.S.C 8.I.V 8.L.C 8.Y.V	2.0 1.5 1.5 1.75 0.8	0	t sʰ i l u	166
#
116	Gyalsumdo	FATHER	apa	Father:Mid	a p a	7 1 7	XBZ	APA	1	1.A.V 1.P.C 1.A.V	1.5 1.75 0.8	0	a p a	167
378	Jirel	FATHER	aba	Father:Mid	a b a	7 1 7	XBZ	APA	2	2.A.V 2.P.C 2.A.V	1.5 1.75 0.8	0	a b a	167
635	Kagate	FATHER	aba	Father:…Rise	a b a	7 1 7	XBZ	APA	3	3.A.V 3.P.C 3.A.V	1.5 1.75 0.8	0	a b a	167
892	Lowa	FATHER	ake	Father:(Mid-)Rise	a k e	7 1 7	XBZ	AKE	4	4.A.V 4.K.C 4.E.V	1.5 1.75 0.8	0	a k e	169
1145	Nubri	FATHER	jɛ	Father:Mid	j ɛ	6 7	AX	JE	5	5.J.C 5.E.V	2.0 1.5	0	j ɛ	168
1399	Sherpa	FATHER	apa	Father:Mid	a p a	7 1 7	XBZ	APA	6	6.A.V 6.P.C 6.A.V	1.5 1.75 0.8	0	a p a	167
1642	Tsum	FATHER	awa	Father:Low-Rise	a w a	7 6 7	XBZ	AWA	7	7.A.V 7.W.C 7.A.V	1.5 1.75 0.8	0	a w a	167
1906	Yolmo	FATHER	aba	Father:High	a b a	7 1 7	XBZ	APA	8	8.A.V 8.P.C 8.A.V	1.5 1.75 0.8	0	a b a	167
#
196	Gyalsumdo	FEW	ɲuŋe	Few:Low-Rise	ɲ u ŋ e	4 7 4 7	AXBZ	NYNE	1	1.N.C 1.Y.V 1.N.C 1.E.V	2.0 1.5 1.75 0.8	0	ɲ u ŋ e	170
454	Jirel	FEW	tikpidʑik	Few:	t i k p i d ʑ i k	1 7 1 1 7 1 3 7 1	AXMBYBCYN	TIKPITSIK	2	2.T.C 2.I.V 2.K.c 2.P.C 2.I.V 2.T.C 2.S.C 2.I.V 2.K.c	2.0 1.5 1.1 1.75 1.3 1.75 1.5 1.3 0.8	0	t i k p i d ʑ i k	171
713	Kagate	FEW	t̪ibi	Few:High	t̪ i b i	1 7 1 7	AXBZ	TIPI	3	3.T.C 3.I.V 3.P.C 3.I.V	2.0 1.5 1.75 0.8	0	t̪ i b i	171
973	Lowa	FEW	ɲuŋwa	Few:(Low-)Rise	ɲ u ŋ w a	4 7 4 6 7	AXBCZ	NYNWA	4	4.N.C 4.Y.V 4.N.C 4.W.C 4.A.V	2.0 1.5 1.75 1.5 0.8	0	ɲ u ŋ w a	170
1221	Nubri	FEW	alajili	Few:	a l a j i l i	7 5 7 6 7 5 7	XBYBYBZ	ALAJILI	5	5.A.V 5.L.C 5.A.V 5.J.C 5.I.V 5.L.C 5.I.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	a l a j i l i	172
1473	Sherpa	FEW	tsedzi	Few:Mid-high	t s e d z i	1 3 7 1 3 7	ACXBCZ	TSETSI	6	6.T.C 6.S.C 6.E.V 6.T.C 6.S.C 6.I.V	2.0 1.5 1.5 1.75 1.5 0.8	0	t s e d z i	173
1716	Tsum	FEW	ɲyma	Few:Low-Rise	ɲ y m a	4 7 4 7	AXBZ	NYMA	7	7.N.C 7.Y.V 7.M.C 7.A.V	2.0 1.5 1.75 0.8	0	ɲ y m a	170
1981	Yolmo	FEW	sipi	Few:	s i p i	3 7 1 7	AXBZ	SIPI	8	8.S.C 8.I.V 8.P.C 8.I.V	2.0 1.5 1.75 0.8	0	s i p i	171
1982	Yolmo	FEW	ɲemu	Few:	ɲ e m u	4 7 4 7	AXBZ	NEMY	8	8.N.C 8.E.V 8.M.C 8.Y.V	2.0 1.5 1.75 0.8	0	ɲ e m u	170
#
19	Gyalsumdo	FINGER	tsuɡu	Finger:Low-Rise	t s u ɡ u	1 3 7 1 7	ACXBZ	TSYKY	1	1.T.C 1.S.C 1.Y.V 1.K.C 1.Y.V	2.0 1.5 1.5 1.75 0.8	0	t s u ɡ u	174
284	Jirel	FINGER	ndziu	Finger:	n d z iu	4 1 3 7	ACCZ	NTSI	2	2.N.C 2.T.C 2.S.C 2.I.V	2.0 1.5 1.5 0.8	0	n d z iu	174
545	Kagate	FINGER	t̪ʰebu	Finger:Mid-High	t̪ʰ e b u	1 7 1 7	AXBZ	TEPY	3	3.T.C 3.E.V 3.P.C 3.Y.V	2.0 1.5 1.75 0.8	0	t̪ʰ e b u	175
798	Lowa	FINGER	ndzu	Finger:Low	n d z u	4 1 3 7	ACCZ	NTSY	4	4.N.C 4.T.C 4.S.C 4.Y.V	2.0 1.5 1.5 0.8	0	n d z u	174
1056	Nubri	FINGER	tsuku	Finger:Mid	t s u k u	1 3 7 1 7	ACXBZ	TSYKY	5	5.T.C 5.S.C 5.Y.V 5.K.C 5.Y.V	2.0 1.5 1.5 1.75 0.8	0	t s u k u	174
1307	Sherpa	FINGER	t̪ʰept̪ok	Finger:Mid	t̪ʰ e p t̪ o k	1 7 1 1 7 1	AXMBYN	TEPTUK	6	6.T.C 6.E.V 6.P.c 6.T.C 6.U.V 6.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	t̪ʰ e p t̪ o k	176
1552	Tsum	FINGER	ziu	Finger:Low-Rise	z iu	3 7	AX	SI	7	7.S.C 7.I.V	2.0 1.5	0	z iu	174
1816	Yolmo	FINGER	ndzuɡu	Finger:Mid-Rise	n d z u ɡ u	4 1 3 7 1 7	ACCYBZ	NTSYKY	8	8.N.C 8.T.C 8.S.C 8.Y.V 8.K.C 8.Y.V	2.0 1.5 1.5 1.3 1.75 0.8	1	n d z u ɡ u	174
#
20	Gyalsumdo	FINGERNAIL	seɹmu	Fingernail:High-Fall	s e ɹ m u	3 7 5 4 7	AXMBZ	SERMY	1	1.S.C 1.E.V 1.R.c 1.M.C 1.Y.V	2.0 1.5 1.1 1.75 0.8	0	s e ɹ m u	177
285	Jirel	FINGERNAIL	seɹmuk	Fingernail:High	s e ɹ m u k	3 7 5 4 7 1	AXMBYN	SERMYK	2	2.S.C 2.E.V 2.R.c 2.M.C 2.Y.V 2.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	s e ɹ m u k	177
546	Kagate	FINGERNAIL	sermu	Fingernail:High	s e r m u	3 7 5 4 7	AXMBZ	SERMY	3	3.S.C 3.E.V 3.R.c 3.M.C 3.Y.V	2.0 1.5 1.1 1.75 0.8	0	s e r m u	177
799	Lowa	FINGERNAIL	semo	Fingernail:Mid	s e m o	3 7 4 7	AXBZ	SEMU	4	4.S.C 4.E.V 4.M.C 4.U.V	2.0 1.5 1.75 0.8	0	s e m o	177
1057	Nubri	FINGERNAIL	sermo	Fingernail:Mid(-High)	s e r m o	3 7 5 4 7	AXMBZ	SERMU	5	5.S.C 5.E.V 5.R.c 5.M.C 5.U.V	2.0 1.5 1.1 1.75 0.8	0	s e r m o	177
1308	Sherpa	FINGERNAIL	seɹmoŋ	Fingernail:Mid	s e ɹ m o ŋ	3 7 5 4 7 4	AXMBYN	SERMUN	6	6.S.C 6.E.V 6.R.c 6.M.C 6.U.V 6.N.c	2.0 1.5 1.1 1.75 1.3 0.8	0	s e ɹ m o ŋ	177
1553	Tsum	FINGERNAIL	semu	Fingernail:High	s e m u	3 7 4 7	AXBZ	SEMY	7	7.S.C 7.E.V 7.M.C 7.Y.V	2.0 1.5 1.75 0.8	0	s e m u	177
1817	Yolmo	FINGERNAIL	simu	Fingernail:High	s i m u	3 7 4 7	AXBZ	SIMY	8	8.S.C 8.I.V 8.M.C 8.Y.V	2.0 1.5 1.75 0.8	0	s i m u	177
#
62	Gyalsumdo	FIRE	me	Fire:Low-Rise	m e	4 7	AX	ME	1	1.M.C 1.E.V	2.0 1.5	0	m e	178
325	Jirel	FIRE	me	Fire:Low-Rise	m e	4 7	AX	ME	2	2.M.C 2.E.V	2.0 1.5	0	m e	178
584	Kagate	FIRE	me	Fire:Low-Rise	m e	4 7	AX	ME	3	3.M.C 3.E.V	2.0 1.5	0	m e	178
839	Lowa	FIRE	me	Fire:(Low-)Rise	m e	4 7	AX	ME	4	4.M.C 4.E.V	2.0 1.5	0	m e	178
1095	Nubri	FIRE	mẽ	Fire:(Low-)Rise	m ẽ	4 7	AX	ME	5	5.M.C 5.E.V	2.0 1.5	0	m ẽ	178
1348	Sherpa	FIRE	me	Fire:Low	m e	4 7	AX	ME	6	6.M.C 6.E.V	2.0 1.5	0	m e	178
1592	Tsum	FIRE	me	Fire:Low-Rise	m e	4 7	AX	ME	7	7.M.C 7.E.V	2.0 1.5	0	m e	178
1856	Yolmo	FIRE	me	Fire:Low-Rise	m e	4 7	AX	ME	8	8.M.C 8.E.V	2.0 1.5	0	m e	178
#
34	Gyalsumdo	FIREWOOD	ɕiŋ	Firewood:High-Fall	ɕ i ŋ	3 7 4	AXN	SIN	1	1.S.C 1.I.V 1.N.c	2.0 1.5 0.8	0	ɕ i ŋ	179
297	Jirel	FIREWOOD	ɕiŋ	Firewood:High	ɕ i ŋ	3 7 4	AXN	SIN	2	2.S.C 2.I.V 2.N.c	2.0 1.5 0.8	0	ɕ i ŋ	179
558	Kagate	FIREWOOD	siŋ	Firewood:High	s i ŋ	3 7 4	AXN	SIN	3	3.S.C 3.I.V 3.N.c	2.0 1.5 0.8	0	s i ŋ	179
812	Lowa	FIREWOOD	ɕiŋ	Firewood:High	ɕ i ŋ	3 7 4	AXN	SIN	4	4.S.C 4.I.V 4.N.c	2.0 1.5 0.8	0	ɕ i ŋ	179
1069	Nubri	FIREWOOD	ɕiŋ	Firewood:High	ɕ i ŋ	3 7 4	AXN	SIN	5	5.S.C 5.I.V 5.N.c	2.0 1.5 0.8	0	ɕ i ŋ	179
1321	Sherpa	FIREWOOD	ɕiŋ	Firewood:Mid-High	ɕ i ŋ	3 7 4	AXN	SIN	6	6.S.C 6.I.V 6.N.c	2.0 1.5 0.8	0	ɕ i ŋ	179
1566	Tsum	FIREWOOD	ɕiŋ	Firewood:High	ɕ i ŋ	3 7 4	AXN	SIN	7	7.S.C 7.I.V 7.N.c	2.0 1.5 0.8	0	ɕ i ŋ	179
1828	Yolmo	FIREWOOD	ɕiŋ	Firewood:High	ɕ i ŋ	3 7 4	AXN	SIN	8	8.S.C 8.I.V 8.N.c	2.0 1.5 0.8	0	ɕ i ŋ	179
#
95	Gyalsumdo	FISH	ɲa	Fish:Low-Rise	ɲ a	4 7	AX	NA	1	1.N.C 1.A.V	2.0 1.5	0	ɲ a	180
356	Jirel	FISH	ɲa	Fish:Low-Rise	ɲ a	4 7	AX	NA	2	2.N.C 2.A.V	2.0 1.5	0	ɲ a	180
615	Kagate	FISH	ɲa	Fish:Low-Rise	ɲ a	4 7	AX	NA	3	3.N.C 3.A.V	2.0 1.5	0	ɲ a	180
872	Lowa	FISH	ɲa	Fish:(Low-)Rise	ɲ a	4 7	AX	NA	4	4.N.C 4.A.V	2.0 1.5	0	ɲ a	180
1126	Nubri	FISH	ɲa	Fish:(Mid-)Fall	ɲ a	4 7	AX	NA	5	5.N.C 5.A.V	2.0 1.5	0	ɲ a	180
1379	Sherpa	FISH	ɲa	Fish:Low	ɲ a	4 7	AX	NA	6	6.N.C 6.A.V	2.0 1.5	0	ɲ a	180
1623	Tsum	FISH	ɲa	Fish:Low-Rise	ɲ a	4 7	AX	NA	7	7.N.C 7.A.V	2.0 1.5	0	ɲ a	180
1887	Yolmo	FISH	ɲa	Fish:Mid-High	ɲ a	4 7	AX	NA	8	8.N.C 8.A.V	2.0 1.5	0	ɲ a	180
#
169	Gyalsumdo	FIVE	ŋa	Five:High	ŋ a	4 7	AX	NA	1	1.N.C 1.A.V	2.0 1.5	0	ŋ a	181
430	Jirel	FIVE	ŋa	Five:High	ŋ a	4 7	AX	NA	2	2.N.C 2.A.V	2.0 1.5	0	ŋ a	181
688	Kagate	FIVE	ŋa	Five:Mid	ŋ a	4 7	AX	NA	3	3.N.C 3.A.V	2.0 1.5	0	ŋ a	181
944	Lowa	FIVE	ŋa	Five:Mid	ŋ a	4 7	AX	NA	4	4.N.C 4.A.V	2.0 1.5	0	ŋ a	181
1195	Nubri	FIVE	ŋa	Five:(Mid-)Low	ŋ a	4 7	AX	NA	5	5.N.C 5.A.V	2.0 1.5	0	ŋ a	181
1449	Sherpa	FIVE	ŋa	Five:Mid-high	ŋ a	4 7	AX	NA	6	6.N.C 6.A.V	2.0 1.5	0	ŋ a	181
1692	Tsum	FIVE	ŋa	Five:High-Fall	ŋ a	4 7	AX	NA	7	7.N.C 7.A.V	2.0 1.5	0	ŋ a	181
1956	Yolmo	FIVE	ŋa	Five:High	ŋ a	4 7	AX	NA	8	8.N.C 8.A.V	2.0 1.5	0	ŋ a	181
#
234	Gyalsumdo	FLOUR	tsampa	Flour (eaten as food):High	t s a m p a	1 3 7 4 1 7	ACXMBZ	TSAMPA	1	1.T.C 1.S.C 1.A.V 1.M.c 1.P.C 1.A.V	2.0 1.5 1.5 1.1 1.75 0.8	0	t s a m p a	182
497	Jirel	FLOUR	pʰe	Flour (eaten as food):High	pʰ e	1 7	AX	PE	2	2.P.C 2.E.V	2.0 1.5	0	pʰ e	183
746	Kagate	FLOUR	tsamba	Flour (eaten as food):High	t s a m b a	1 3 7 4 1 7	ACXMBZ	TSAMPA	3	3.T.C 3.S.C 3.A.V 3.M.c 3.P.C 3.A.V	2.0 1.5 1.5 1.1 1.75 0.8	0	t s a m b a	182
1007	Lowa	FLOUR	tsampa	Flour (eaten as food):(High-)Fall	t s a m p a	1 3 7 4 1 7	ACXMBZ	TSAMPA	4	4.T.C 4.S.C 4.A.V 4.M.c 4.P.C 4.A.V	2.0 1.5 1.5 1.1 1.75 0.8	0	t s a m p a	182
1255	Nubri	FLOUR	pʰe	Flour (eaten as food):(High-)Fall	pʰ e	1 7	AX	PE	5	5.P.C 5.E.V	2.0 1.5	0	pʰ e	183
1506	Sherpa	FLOUR	tsamba	Flour (eaten as food):Mid-Low	t s a m b a	1 3 7 4 1 7	ACXMBZ	TSAMPA	6	6.T.C 6.S.C 6.A.V 6.M.c 6.P.C 6.A.V	2.0 1.5 1.5 1.1 1.75 0.8	0	t s a m b a	182
1757	Tsum	FLOUR	pʰe	Flour (eaten as food):High-Fall	pʰ e	1 7	AX	PE	7	7.P.C 7.E.V	2.0 1.5	0	pʰ e	183
1758	Tsum	FLOUR	tsampa	Flour (eaten as food):High	t s a m p a	1 3 7 4 1 7	ACXMBZ	TSAMPA	7	7.T.C 7.S.C 7.A.V 7.M.c 7.P.C 7.A.V	2.0 1.5 1.5 1.1 1.75 0.8	0	t s a m p a	182
2016	Yolmo	FLOUR	tsamba	Flour (eaten as food):High	t s a m b a	1 3 7 4 1 7	ACXMBZ	TSAMPA	8	8.T.C 8.S.C 8.A.V 8.M.c 8.P.C 8.A.V	2.0 1.5 1.5 1.1 1.75 0.8	0	t s a m b a	182
#
73	Gyalsumdo	FLOWER	mend̪o	Flower:Low-Rise	m e n d̪ o	4 7 4 1 7	AXMBZ	MENTU	1	1.M.C 1.E.V 1.N.c 1.T.C 1.U.V	2.0 1.5 1.1 1.75 0.8	0	m e n d̪ o	184
335	Jirel	FLOWER	mend̪ok	Flower:Mid-High	m e n d̪ o k	4 7 4 1 7 1	AXMBYN	MENTUK	2	2.M.C 2.E.V 2.N.c 2.T.C 2.U.V 2.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	m e n d̪ o k	184
594	Kagate	FLOWER	mend̪o	Flower:Low-Rise	m e n d̪ o	4 7 4 1 7	AXMBZ	MENTU	3	3.M.C 3.E.V 3.N.c 3.T.C 3.U.V	2.0 1.5 1.1 1.75 0.8	0	m e n d̪ o	184
850	Lowa	FLOWER	ment̪o	Flower:Fall-Rise	m e n t̪ o	4 7 4 1 7	AXMBZ	MENTU	4	4.M.C 4.E.V 4.N.c 4.T.C 4.U.V	2.0 1.5 1.1 1.75 0.8	0	m e n t̪ o	184
1105	Nubri	FLOWER	met̪o	Flower:(Low-)Rise	m e t̪ o	4 7 1 7	AXBZ	METU	5	5.M.C 5.E.V 5.T.C 5.U.V	2.0 1.5 1.75 0.8	0	m e t̪ o	184
1358	Sherpa	FLOWER	mend̪o	Flower:Low	m e n d̪ o	4 7 4 1 7	AXMBZ	MENTU	6	6.M.C 6.E.V 6.N.c 6.T.C 6.U.V	2.0 1.5 1.1 1.75 0.8	0	m e n d̪ o	184
1602	Tsum	FLOWER	mend̪oʔ	Flower:Low-Rise	m e n d̪ o ʔ	4 7 4 1 7 1	AXMBYN	MENTUH	7	7.M.C 7.E.V 7.N.c 7.T.C 7.U.V 7.H.c	2.0 1.5 1.1 1.75 1.3 0.8	0	m e n d̪ o ʔ	184
1866	Yolmo	FLOWER	mend̪o	Flower:Low-Rise	m e n d̪ o	4 7 4 1 7	AXMBZ	MENTU	8	8.M.C 8.E.V 8.N.c 8.T.C 8.U.V	2.0 1.5 1.1 1.75 0.8	0	m e n d̪ o	184
#
212	Gyalsumdo	FLY (MOVE THROUGH AIR)	pʰiɹ	To fly:High	pʰ i ɹ	1 7 5	AXN	PIR	1	1.P.C 1.I.V 1.R.c	2.0 1.5 0.8	0	pʰ i ɹ	185
477	Jirel	FLY (MOVE THROUGH AIR)	pʰuɹ	To fly:	pʰ u ɹ	1 7 5	AXN	PYR	2	2.P.C 2.Y.V 2.R.c	2.0 1.5 0.8	0	pʰ u ɹ	185
478	Jirel	FLY (MOVE THROUGH AIR)	pʰuɹat̪e	To fly:	pʰ u ɹ a t̪ e	1 7 5 7 1 7	AXBYBZ	PYRATE	2	2.P.C 2.Y.V 2.R.C 2.A.V 2.T.C 2.E.V	2.0 1.5 1.75 1.3 1.75 0.8	0	pʰ u ɹ a t̪ e	185
728	Kagate	FLY (MOVE THROUGH AIR)	urtse	To fly:Low-Rise	u r t s e	7 5 1 3 7	XMBCZ	YRTSE	3	3.Y.V 3.R.c 3.T.C 3.S.C 3.E.V	1.5 1.1 1.75 1.5 0.8	0	u r t s e	185
989	Lowa	FLY (MOVE THROUGH AIR)	pʰuɾje	To fly:High	pʰ u ɾ j e	1 7 5 6 7	AXBCZ	PYRJE	4	4.P.C 4.Y.V 4.R.C 4.J.C 4.E.V	2.0 1.5 1.75 1.5 0.8	0	pʰ u ɾ j e	185
1236	Nubri	FLY (MOVE THROUGH AIR)	pʰuɹ	To fly:High	pʰ u ɹ	1 7 5	AXN	PYR	5	5.P.C 5.Y.V 5.R.c	2.0 1.5 0.8	0	pʰ u ɹ	185
1488	Sherpa	FLY (MOVE THROUGH AIR)	pʰirku	To fly:Mid-High	pʰ i r k u	1 7 5 1 7	AXMBZ	PIRKY	6	6.P.C 6.I.V 6.R.c 6.K.C 6.Y.V	2.0 1.5 1.1 1.75 0.8	0	pʰ i r k u	185
1735	Tsum	FLY (MOVE THROUGH AIR)	pʰiɹso	To fly:	pʰ i ɹ s o	1 7 5 3 7	AXMBZ	PIRSU	7	7.P.C 7.I.V 7.R.c 7.S.C 7.U.V	2.0 1.5 1.1 1.75 0.8	0	pʰ i ɹ s o	185
1997	Yolmo	FLY (MOVE THROUGH AIR)	loŋ	To fly:	l o ŋ	5 7 4	AXN	LUN	8	8.L.C 8.U.V 8.N.c	2.0 1.5 0.8	0	l o ŋ	186
#
168	Gyalsumdo	FOUR	ɕi	Four:Mid	ɕ i	3 7	AX	SI	1	1.S.C 1.I.V	2.0 1.5	0	ɕ i	187
429	Jirel	FOUR	ɕi	Four:Low-Rise	ɕ i	3 7	AX	SI	2	2.S.C 2.I.V	2.0 1.5	0	ɕ i	187
687	Kagate	FOUR	ɕi	Four:Low-Rise	ɕ i	3 7	AX	SI	3	3.S.C 3.I.V	2.0 1.5	0	ɕ i	187
943	Lowa	FOUR	ɕi	Four:(Low-)Rise	ɕ i	3 7	AX	SI	4	4.S.C 4.I.V	2.0 1.5	0	ɕ i	187
1194	Nubri	FOUR	ɕi	Four:Low	ɕ i	3 7	AX	SI	5	5.S.C 5.I.V	2.0 1.5	0	ɕ i	187
1448	Sherpa	FOUR	ɕi	Four:Low-Rise	ɕ i	3 7	AX	SI	6	6.S.C 6.I.V	2.0 1.5	0	ɕ i	187
1691	Tsum	FOUR	ʑi	Four:Low-Rise	ʑ i	3 7	AX	SI	7	7.S.C 7.I.V	2.0 1.5	0	ʑ i	187
1955	Yolmo	FOUR	ʑi	Four:Low-Rise	ʑ i	3 7	AX	SI	8	8.S.C 8.I.V	2.0 1.5	0	ʑ i	187
#
74	Gyalsumdo	FRUIT	ɕiŋd̪o	Fruit:Mid	ɕ i ŋ d̪ o	3 7 4 1 7	AXMBZ	SINTU	1	1.S.C 1.I.V 1.N.c 1.T.C 1.U.V	2.0 1.5 1.1 1.75 0.8	0	ɕ i ŋ d̪ o	188
336	Jirel	FRUIT	pʰəlpʰul	Fruit:	pʰ ə l pʰ u l	1 7 5 1 7 5	AXMBYN	PELPYL	2	2.P.C 2.E.V 2.L.c 2.P.C 2.Y.V 2.L.c	2.0 1.5 1.1 1.75 1.3 0.8	0	pʰ ə l pʰ u l	189
595	Kagate	FRUIT	brumd̪o	Fruit:	b r u m d̪ o	1 5 7 4 1 7	ACXMBZ	PRYMTU	3	3.P.C 3.R.C 3.Y.V 3.M.c 3.T.C 3.U.V	2.0 1.5 1.5 1.1 1.75 0.8	0	b r u m d̪ o	190
851	Lowa	FRUIT	ɕiŋt̪oʔ	Fruit:Fall-Rise	ɕ i ŋ t̪ o ʔ	3 7 4 1 7 1	AXMBYN	SINTUH	4	4.S.C 4.I.V 4.N.c 4.T.C 4.U.V 4.H.c	2.0 1.5 1.1 1.75 1.3 0.8	0	ɕ i ŋ t̪ o ʔ	188
1106	Nubri	FRUIT	ɕiŋt̪oʔ	Fruit:	ɕ i ŋ t̪ o ʔ	3 7 4 1 7 1	AXMBYN	SINTUH	5	5.S.C 5.I.V 5.N.c 5.T.C 5.U.V 5.H.c	2.0 1.5 1.1 1.75 1.3 0.8	0	ɕ i ŋ t̪ o ʔ	188
1359	Sherpa	FRUIT	pʰalpʰul	Fruit:	pʰ a l pʰ u l	1 7 5 1 7 5	AXMBYN	PALPYL	6	6.P.C 6.A.V 6.L.c 6.P.C 6.Y.V 6.L.c	2.0 1.5 1.1 1.75 1.3 0.8	0	pʰ a l pʰ u l	189
1603	Tsum	FRUIT	ɕiŋd̪oʔ	Fruit:Mid-Rise	ɕ i ŋ d̪ o ʔ	3 7 4 1 7 1	AXMBYN	SINTUH	7	7.S.C 7.I.V 7.N.c 7.T.C 7.U.V 7.H.c	2.0 1.5 1.1 1.75 1.3 0.8	0	ɕ i ŋ d̪ o ʔ	188
1867	Yolmo	FRUIT	pʰəlbul	Fruit:	pʰ ə l b u l	1 7 5 1 7 5	AXMBYN	PELPYL	8	8.P.C 8.E.V 8.L.c 8.P.C 8.Y.V 8.L.c	2.0 1.5 1.1 1.75 1.3 0.8	0	pʰ ə l b u l	189
#
86	Gyalsumdo	GARLIC	kɔkpa	Garlic:Low-Rise	k ɔ k p a	1 7 1 1 7	AXMBZ	KUKPA	1	1.K.C 1.U.V 1.K.c 1.P.C 1.A.V	2.0 1.5 1.1 1.75 0.8	0	k ɔ k p a	191
347	Jirel	GARLIC	ŋɡokpa	Garlic:Mid	ŋ ɡ o k p a	4 1 7 1 1 7	ACYMBZ	NKUKPA	2	2.N.C 2.K.C 2.U.V 2.K.c 2.P.C 2.A.V	2.0 1.5 1.3 1.1 1.75 0.8	0	ŋ ɡ o k p a	191
606	Kagate	GARLIC	kokpa	Garlic:Low-Rise	k o k p a	1 7 1 1 7	AXMBZ	KUKPA	3	3.K.C 3.U.V 3.K.c 3.P.C 3.A.V	2.0 1.5 1.1 1.75 0.8	0	k o k p a	191
862	Lowa	GARLIC	koɡpa	Garlic:(Low-)Rise	k o ɡ p a	1 7 1 1 7	AXMBZ	KUKPA	4	4.K.C 4.U.V 4.K.c 4.P.C 4.A.V	2.0 1.5 1.1 1.75 0.8	0	k o ɡ p a	191
1117	Nubri	GARLIC	koɡpa	Garlic:(Low-)Rise	k o ɡ p a	1 7 1 1 7	AXMBZ	KUKPA	5	5.K.C 5.U.V 5.K.c 5.P.C 5.A.V	2.0 1.5 1.1 1.75 0.8	0	k o ɡ p a	191
1370	Sherpa	GARLIC	ɡokpa	Garlic:Low-Rise	ɡ o k p a	1 7 1 1 7	AXMBZ	KUKPA	6	6.K.C 6.U.V 6.K.c 6.P.C 6.A.V	2.0 1.5 1.1 1.75 0.8	0	ɡ o k p a	191
1614	Tsum	GARLIC	kokpa	Garlic:Low-Rise	k o k p a	1 7 1 1 7	AXMBZ	KUKPA	7	7.K.C 7.U.V 7.K.c 7.P.C 7.A.V	2.0 1.5 1.1 1.75 0.8	0	k o k p a	191
1878	Yolmo	GARLIC	kɔkpa	Garlic:Low-Rise	k ɔ k p a	1 7 1 1 7	AXMBZ	KUKPA	8	8.K.C 8.U.V 8.K.c 8.P.C 8.A.V	2.0 1.5 1.1 1.75 0.8	0	k ɔ k p a	191
#
